OrderDate,Year,YearMonth,Category,Seller,ProductID,Orders,Units Sold,GMV,Marketplace Revenue,Take Rate %,AOV
2025-07-20,2025,2025-07,Beauty,Apex Value,Product-078,1,1,16.67,2.59,0.1555,16.67
2025-09-11,2025,2025-09,Home,Apex Value,Product-046,1,1,50.16,6.33,0.1262,50.16
2025-07-31,2025,2025-07,Beauty,Apex Outdoor,Product-073,1,1,34.46,4.21,0.1223,34.46
2025-11-13,2025,2025-11,Beauty,Apex Outdoor,Product-041,1,1,13.23,2.35,0.1774,13.23
2025-11-10,2025,2025-11,Home,Apex Prime,Product-047,1,2,99.72,14.64,0.1468,99.72
2025-08-19,2025,2025-08,Kids,Apex Essentials,Product-050,1,1,20.27,3.38,0.1669,20.27
2025-11-22,2025,2025-11,Home,Apex Value,Product-012,1,1,40.96,4.17,0.1018,40.96
2025-11-10,2025,2025-11,Electronics,Apex Value,Product-073,1,1,56.47,5.75,0.1018,56.47
2025-10-17,2025,2025-10,Electronics,Apex Essentials,Product-070,1,1,76.24,13.11,0.1719,76.24
2025-07-22,2025,2025-07,Electronics,Apex Value,Product-013,1,1,70.02,10.64,0.1519,70.02
2025-09-01,2025,2025-09,Kids,Apex Value,Product-063,1,1,8.0,1.05,0.1316,8.0
2025-09-25,2025,2025-09,Beauty,Apex Value,Product-064,1,1,19.7,3.24,0.1644,19.7
2025-07-19,2025,2025-07,Kids,Apex Prime,Product-053,1,1,27.23,2.73,0.1003,27.23
2025-10-05,2025,2025-10,Electronics,Apex Outdoor,Product-070,1,1,61.17,8.68,0.1419,61.17
2025-12-29,2025,2025-12,Electronics,Apex Prime,Product-054,1,2,136.96,15.48,0.113,136.96
2025-12-10,2025,2025-12,Fitness,Apex Value,Product-042,1,1,41.2,5.52,0.134,41.2
2025-09-13,2025,2025-09,Beauty,Apex Prime,Product-061,1,1,32.85,5.32,0.1621,32.85
2025-08-15,2025,2025-08,Electronics,Apex Outdoor,Product-003,1,1,71.54,12.35,0.1727,71.54
2025-07-10,2025,2025-07,Beauty,Apex Prime,Product-026,1,1,23.49,3.7,0.1574,23.49
2025-11-30,2025,2025-11,Kitchen,Apex Value,Product-057,1,1,35.17,4.31,0.1225,35.17
2025-08-14,2025,2025-08,Beauty,Apex Outdoor,Product-034,1,1,8.0,1.22,0.1528,8.0
2025-07-24,2025,2025-07,Fitness,Apex Value,Product-052,1,1,59.34,10.43,0.1758,59.34
