YearMonth,device_type,acquisition_channel,country,category,product_id,Viewed Customers,Cart Customers,Checkout Customers,Purchased Customers,Total Revenue,Profit,Total Orders,Profit Margin,View → Cart %,Cart → Checkout %,Checkout → Purchase %,Drop-off (Views→Cart),Drop-off (Cart→Checkout),Drop-off (Checkout→Purchase),Funnel Metric,Stage,AOV
2025-11,desktop,paid_search,UK,Shoes,P-0203,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,email,CA,Shoes,P-0004,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,referral,CA,Shoes,P-0458,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,tablet,paid_social,UK,Bottoms,P-0154,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_social,US,Bottoms,P-0209,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,US,Accessories,P-0426,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,organic,US,Tops,P-0340,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,desktop,email,AU,Outerwear,P-0243,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,CA,Accessories,P-0342,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,UK,Outerwear,P-0214,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,US,Outerwear,P-0239,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_social,AU,Tops,P-0297,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,paid_social,US,Shoes,P-0004,1,1,1,1,92.86,22.07,1,0.2377,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,92.86
2025-09,mobile,paid_search,CA,Accessories,P-0109,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,AU,Shoes,P-0211,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,referral,CA,Shoes,P-0162,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_search,US,Shoes,P-0443,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,organic,UK,Tops,P-0021,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,tablet,referral,UK,Tops,P-0040,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,desktop,paid_search,CA,Shoes,P-0495,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_social,US,Shoes,P-0384,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,email,AU,Bottoms,P-0467,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,paid_search,CA,Tops,P-0166,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_social,US,Bottoms,P-0419,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,email,UK,Outerwear,P-0131,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_search,UK,Accessories,P-0168,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,referral,AU,Bottoms,P-0033,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,desktop,organic,US,Bottoms,P-0108,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,AU,Bottoms,P-0415,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,email,US,Tops,P-0174,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,AU,Accessories,P-0362,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,CA,Accessories,P-0045,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_search,CA,Outerwear,P-0368,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,desktop,paid_social,US,Tops,P-0124,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,paid_search,US,Outerwear,P-0453,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,desktop,email,CA,Bottoms,P-0213,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,US,Bottoms,P-0296,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
