MonthYear,Department,Revenue Actual,Revenue Budget,Revenue Variance,Revenue Variance %,Opex (Positive),Operating Income,Gross Margin %
2025-07,Customer Success,368128,368058,70,0.0002,179957,-10631,0.46
2025-07,G&A,375318,379194,-3876,-0.0102,202589,33448,0.6289
2025-07,Marketing,360350,357162,3188,0.0089,199089,-33529,0.4594
2025-07,Product,545938,535758,10180,0.019,187349,172056,0.6583
2025-07,Sales,547941,547629,312,0.0006,229277,152440,0.6966
2025-08,Customer Success,453624,459148,-5524,-0.012,256352,47787,0.6705
2025-08,G&A,315498,313903,1595,0.0051,223975,-72819,0.4791
2025-08,Marketing,563998,560871,3127,0.0056,250809,205761,0.8095
2025-08,Product,367367,366290,1077,0.0029,167501,93303,0.7099
2025-08,Sales,421203,420810,393,0.0009,280579,4024,0.6757
2025-09,Customer Success,403447,409625,-6178,-0.0151,184163,22662,0.5126
2025-09,G&A,409922,400951,8971,0.0224,230144,18316,0.6061
2025-09,Marketing,539321,532186,7135,0.0134,228081,130411,0.6647
2025-09,Product,442166,432224,9942,0.023,193645,80992,0.6211
2025-09,Sales,379354,380390,-1036,-0.0027,192579,-45379,0.388
2025-10,Customer Success,396335,398125,-1790,-0.0045,215704,-35642,0.4543
2025-10,G&A,398136,399636,-1500,-0.0038,211893,-29583,0.4579
2025-10,Marketing,405994,394493,11501,0.0292,251929,-24565,0.56
2025-10,Product,353517,354964,-1447,-0.0041,233836,-36947,0.5569
2025-10,Sales,422336,429142,-6806,-0.0159,245744,-17481,0.5405
2025-11,Customer Success,493846,501708,-7862,-0.0157,163255,113814,0.561
2025-11,G&A,568661,568852,-191,-0.0003,182465,165940,0.6127
2025-11,Marketing,498862,507720,-8858,-0.0174,269842,71519,0.6843
2025-11,Product,485077,480689,4388,0.0091,197041,121126,0.6559
2025-11,Sales,477874,480001,-2127,-0.0044,172471,172902,0.7227
2025-12,Customer Success,365398,364104,1294,0.0036,289688,-163354,0.3457
2025-12,G&A,481112,493028,-11916,-0.0242,185946,82885,0.5588
2025-12,Marketing,361316,369756,-8440,-0.0228,199083,-5973,0.5345
2025-12,Product,618126,618687,-561,-0.0009,247786,155034,0.6517
2025-12,Sales,508436,505265,3171,0.0063,208170,79431,0.5657
