MonthYear,FiscalYear,Department,Region,Account,AccountCategory,Scenario,Amount
2025-07,2025,Sales,APAC,Subscription Revenue,Revenue,Actual,278595
2025-07,2025,Sales,APAC,Subscription Revenue,Revenue,Budget,283295
2025-07,2025,Sales,APAC,Professional Services,Revenue,Actual,269346
2025-07,2025,Sales,APAC,Professional Services,Revenue,Budget,264334
2025-07,2025,Sales,APAC,Cloud Hosting,COGS,Actual,100753
2025-07,2025,Sales,APAC,Cloud Hosting,COGS,Budget,101441
2025-07,2025,Sales,APAC,Support,COGS,Actual,65471
2025-07,2025,Sales,APAC,Support,COGS,Budget,64063
2025-07,2025,Sales,APAC,Salaries,OpEx,Actual,77461
2025-07,2025,Sales,APAC,Salaries,OpEx,Budget,78294
2025-07,2025,Sales,APAC,Software Tools,OpEx,Actual,67993
2025-07,2025,Sales,APAC,Software Tools,OpEx,Budget,67737
2025-07,2025,Sales,APAC,Facilities,OpEx,Actual,83823
2025-07,2025,Sales,APAC,Facilities,OpEx,Budget,84648
2025-07,2025,Marketing,NA-East,Subscription Revenue,Revenue,Actual,159569
2025-07,2025,Marketing,NA-East,Subscription Revenue,Revenue,Budget,157098
2025-07,2025,Marketing,NA-East,Professional Services,Revenue,Actual,200781
2025-07,2025,Marketing,NA-East,Professional Services,Revenue,Budget,200064
2025-07,2025,Marketing,NA-East,Cloud Hosting,COGS,Actual,104707
2025-07,2025,Marketing,NA-East,Cloud Hosting,COGS,Budget,105588
2025-07,2025,Marketing,NA-East,Support,COGS,Actual,90083
2025-07,2025,Marketing,NA-East,Support,COGS,Budget,89852
2025-07,2025,Marketing,NA-East,Salaries,OpEx,Actual,61864
2025-07,2025,Marketing,NA-East,Salaries,OpEx,Budget,64317
2025-07,2025,Marketing,NA-East,Software Tools,OpEx,Actual,92041
2025-07,2025,Marketing,NA-East,Software Tools,OpEx,Budget,90680
2025-07,2025,Marketing,NA-East,Facilities,OpEx,Actual,45184
2025-07,2025,Marketing,NA-East,Facilities,OpEx,Budget,43630
2025-07,2025,Product,NA-East,Subscription Revenue,Revenue,Actual,266908
2025-07,2025,Product,NA-East,Subscription Revenue,Revenue,Budget,265090
2025-07,2025,Product,NA-East,Professional Services,Revenue,Actual,279030
2025-07,2025,Product,NA-East,Professional Services,Revenue,Budget,270668
2025-07,2025,Product,NA-East,Cloud Hosting,COGS,Actual,79424
2025-07,2025,Product,NA-East,Cloud Hosting,COGS,Budget,79280
2025-07,2025,Product,NA-East,Support,COGS,Actual,107109
2025-07,2025,Product,NA-East,Support,COGS,Budget,104365
2025-07,2025,Product,NA-East,Salaries,OpEx,Actual,80533
2025-07,2025,Product,NA-East,Salaries,OpEx,Budget,79049
2025-07,2025,Product,NA-East,Software Tools,OpEx,Actual,38097
2025-07,2025,Product,NA-East,Software Tools,OpEx,Budget,39511
2025-07,2025,Product,NA-East,Facilities,OpEx,Actual,68719
2025-07,2025,Product,NA-East,Facilities,OpEx,Budget,67324
2025-07,2025,Customer Success,NA-East,Subscription Revenue,Revenue,Actual,200614
2025-07,2025,Customer Success,NA-East,Subscription Revenue,Revenue,Budget,200455
2025-07,2025,Customer Success,NA-East,Professional Services,Revenue,Actual,167514
2025-07,2025,Customer Success,NA-East,Professional Services,Revenue,Budget,167603
2025-07,2025,Customer Success,NA-East,Cloud Hosting,COGS,Actual,124041
2025-07,2025,Customer Success,NA-East,Cloud Hosting,COGS,Budget,123439
2025-07,2025,Customer Success,NA-East,Support,COGS,Actual,74761
2025-07,2025,Customer Success,NA-East,Support,COGS,Budget,76959
2025-07,2025,Customer Success,NA-East,Salaries,OpEx,Actual,40495
2025-07,2025,Customer Success,NA-East,Salaries,OpEx,Budget,42033
2025-07,2025,Customer Success,NA-East,Software Tools,OpEx,Actual,84031
2025-07,2025,Customer Success,NA-East,Software Tools,OpEx,Budget,80801
2025-07,2025,Customer Success,NA-East,Facilities,OpEx,Actual,55431
2025-07,2025,Customer Success,NA-East,Facilities,OpEx,Budget,55883
2025-07,2025,G&A,NA-East,Subscription Revenue,Revenue,Actual,152667
2025-07,2025,G&A,NA-East,Subscription Revenue,Revenue,Budget,152131
2025-07,2025,G&A,NA-East,Professional Services,Revenue,Actual,222651
2025-07,2025,G&A,NA-East,Professional Services,Revenue,Budget,227063
2025-07,2025,G&A,NA-East,Cloud Hosting,COGS,Actual,64866
2025-07,2025,G&A,NA-East,Cloud Hosting,COGS,Budget,63732
2025-07,2025,G&A,NA-East,Support,COGS,Actual,74415
2025-07,2025,G&A,NA-East,Support,COGS,Budget,73828
2025-07,2025,G&A,NA-East,Salaries,OpEx,Actual,62097
2025-07,2025,G&A,NA-East,Salaries,OpEx,Budget,62530
2025-07,2025,G&A,NA-East,Software Tools,OpEx,Actual,73053
2025-07,2025,G&A,NA-East,Software Tools,OpEx,Budget,72387
2025-07,2025,G&A,NA-East,Facilities,OpEx,Actual,67439
2025-07,2025,G&A,NA-East,Facilities,OpEx,Budget,65973
2025-08,2025,Sales,NA-West,Subscription Revenue,Revenue,Actual,168489
2025-08,2025,Sales,NA-West,Subscription Revenue,Revenue,Budget,169792
2025-08,2025,Sales,NA-West,Professional Services,Revenue,Actual,252714
2025-08,2025,Sales,NA-West,Professional Services,Revenue,Budget,251018
2025-08,2025,Sales,NA-West,Cloud Hosting,COGS,Actual,71735
