Restaurant ID,City,Zone,Month,Sales
R-0001,Raleigh,5,2025-07,89070.31
R-0001,Raleigh,5,2025-08,70054.52
R-0001,Raleigh,5,2025-09,79391.65
R-0001,Raleigh,5,2025-10,71755.32
R-0001,Raleigh,5,2025-11,87806.13
R-0001,Raleigh,5,2025-12,101927.18
R-0002,Winston-Salem,3,2025-07,79048.51
R-0002,Winston-Salem,3,2025-08,59490.03
R-0002,Winston-Salem,3,2025-09,77851.09
R-0002,Winston-Salem,3,2025-10,90212.18
R-0002,Winston-Salem,3,2025-11,102413.85
R-0002,Winston-Salem,3,2025-12,102438.48
R-0003,Asheville,5,2025-07,72380.92
R-0003,Asheville,5,2025-08,45939.01
R-0003,Asheville,5,2025-09,55251.37
R-0003,Asheville,5,2025-10,51808.32
R-0003,Asheville,5,2025-11,50625.93
R-0003,Asheville,5,2025-12,70440.94
R-0004,Wilmington,1,2025-07,66120.13
R-0004,Wilmington,1,2025-08,54057.61
R-0004,Wilmington,1,2025-09,44950.71
R-0004,Wilmington,1,2025-10,61890.01
R-0004,Wilmington,1,2025-11,73953.33
R-0004,Wilmington,1,2025-12,65189.56
R-0005,Charlotte,4,2025-07,45555.24
R-0005,Charlotte,4,2025-08,44349.33
R-0005,Charlotte,4,2025-09,40433.93
R-0005,Charlotte,4,2025-10,42502.92
R-0005,Charlotte,4,2025-11,37859.42
R-0005,Charlotte,4,2025-12,44234.01
R-0006,Greenville,1,2025-07,37229.32
R-0006,Greenville,1,2025-08,48584.03
R-0006,Greenville,1,2025-09,45691.44
R-0006,Greenville,1,2025-10,46768.79
R-0006,Greenville,1,2025-11,58068.83
R-0006,Greenville,1,2025-12,47888.81
R-0007,Charlotte,3,2025-07,43892.82
R-0007,Charlotte,3,2025-08,52424.82
R-0007,Charlotte,3,2025-09,69479.68
R-0007,Charlotte,3,2025-10,51595.0
R-0007,Charlotte,3,2025-11,69661.99
R-0007,Charlotte,3,2025-12,62090.35
R-0008,Greensboro,2,2025-07,37803.91
R-0008,Greensboro,2,2025-08,45821.58
R-0008,Greensboro,2,2025-09,45158.72
R-0008,Greensboro,2,2025-10,42536.75
R-0008,Greensboro,2,2025-11,58604.65
R-0008,Greensboro,2,2025-12,61110.07
R-0009,Durham,3,2025-07,38016.39
R-0009,Durham,3,2025-08,53809.17
R-0009,Durham,3,2025-09,57864.79
R-0009,Durham,3,2025-10,44788.06
R-0009,Durham,3,2025-11,66919.58
R-0009,Durham,3,2025-12,58982.43
R-0010,Asheville,2,2025-07,40892.76
R-0010,Asheville,2,2025-08,33722.26
R-0010,Asheville,2,2025-09,50400.97
R-0010,Asheville,2,2025-10,37911.08
R-0010,Asheville,2,2025-11,50483.79
R-0010,Asheville,2,2025-12,40512.94
R-0011,Durham,3,2025-07,76343.39
R-0011,Durham,3,2025-08,73366.88
R-0011,Durham,3,2025-09,61760.04
R-0011,Durham,3,2025-10,74670.88
R-0011,Durham,3,2025-11,68593.03
R-0011,Durham,3,2025-12,77303.18
R-0012,Durham,1,2025-07,32966.51
R-0012,Durham,1,2025-08,43665.39
R-0012,Durham,1,2025-09,49072.57
R-0012,Durham,1,2025-10,47023.65
R-0012,Durham,1,2025-11,35881.5
R-0012,Durham,1,2025-12,37700.93
R-0013,Greensboro,5,2025-07,62435.55
R-0013,Greensboro,5,2025-08,66842.24
R-0013,Greensboro,5,2025-09,45266.71
R-0013,Greensboro,5,2025-10,45731.6
